,Sum,Max,Min
498,0.3651,4.3381,4.332
499,0.4175,4.3133,4.3217
500,0.3685,4.3445,4.3305
501,0.3699,4.3465,4.3206
502,0.3957,4.3523,4.3545
503,0.3556,4.3564,4.3215
504,0.3918,4.3607,4.342
505,0.3954,4.4038,4.357
506,0.3918,4.3893,4.3729
507,0.3665,4.4095,4.3806
508,0.3986,4.3891,4.3781
509,0.3776,4.438,4.3739
510,0.4466,4.4076,4.4131
511,0.3684,4.4167,4.4028
512,0.3639,4.7441,5.2816
513,0.3732,4.4331,4.7688
514,0.3831,4.6398,4.6766
515,0.3687,4.5729,4.562
516,0.366,4.5617,4.5695
517,0.3956,4.3095,4.4563
518,0.3744,4.4913,4.4892
519,0.3843,4.4923,4.62
520,0.4088,4.5973,4.4397
521,0.4084,4.5322,4.4941
522,0.4411,4.5102,4.5302
523,0.3723,4.5145,4.5089
524,0.4646,4.5281,4.5234
525,0.4092,4.5556,4.5238
526,0.4175,4.5493,4.5516
527,0.3637,4.5558,4.564
528,0.4119,4.566,4.5709
529,0.389,4.579,4.8238
530,0.3699,4.7607,4.7855
531,0.3947,4.734,4.7028
532,0.3715,4.7068,4.7226
533,0.418,4.7027,4.7113
534,0.4032,4.7102,4.7258
535,0.3773,4.7058,4.7329
536,0.3903,4.7558,4.7278
537,0.4232,4.7353,4.7368
538,0.3954,4.8442,4.7529
539,0.3871,4.7486,4.7391
540,0.4203,4.7574,4.7882
541,0.417,4.7498,4.7597
542,0.4065,4.7731,4.7604
543,0.391,4.7675,4.779
544,0.4014,4.7681,4.9634
545,0.3877,4.7884,4.792
546,0.4087,4.7937,4.7949
547,0.3583,4.8192,4.8069
548,0.4291,4.8262,4.8124
549,0.4333,4.8253,4.8208
550,0.4053,4.8336,4.8307
551,0.3999,4.8402,4.8749
552,0.3659,4.8412,4.8641
553,0.3866,4.835,4.8676
554,0.4163,4.8564,4.8998
555,0.4048,4.8734,4.9158
556,0.4296,4.9595,5.1139
557,0.4186,4.9025,4.8869
558,0.3656,4.8814,4.9072
559,0.4084,4.9033,5.1579
560,0.4349,4.8397,4.9071
561,0.4288,4.85,4.864
562,0.4035,4.8542,4.8588
563,0.4029,4.8542,4.862
564,0.4501,4.86,4.8789
565,0.4135,4.8876,4.8766
566,0.4566,4.8785,4.8928
567,0.4312,4.8714,4.8825
568,0.4352,4.8972,4.878
569,0.4425,4.9249,4.8923
570,0.4372,4.9329,4.9205
571,0.4607,5.1175,4.9552
572,0.3886,4.9732,5.4067
573,0.4862,5.1343,4.9693
574,0.4194,5.3572,4.9562
575,0.4458,5.2276,4.9752
576,0.4521,4.9994,4.9882
577,0.4377,4.9888,4.9883
578,0.4282,5.0141,4.9884
579,0.4608,5.0342,5.1547
580,0.4331,5.0129,5.0434
581,0.5169,5.0035,5.0396
582,0.4565,5.0408,5.0399
583,0.4553,5.0339,5.019
584,0.4517,5.0485,5.0635
585,0.5002,5.057,5.086
586,0.4485,5.0735,5.0722
587,0.4811,5.0519,5.0733
588,0.4174,5.1211,5.3645
589,0.4886,5.0991,5.1954
590,0.4091,5.226,5.2513
591,0.4633,5.2353,5.2227
592,0.456,5.2234,5.2063
593,0.448,5.2103,5.2206
594,0.4247,5.2058,5.2217
595,0.4502,5.2056,5.2336
596,0.4541,5.2095,5.2264
597,0.4995,5.2139,5.2373
598,0.5122,5.2317,5.3219
599,0.4054,5.22,5.4366
600,0.4346,5.2428,5.2206
601,0.4594,5.2445,5.2646
602,0.4113,5.3944,5.3256
603,0.4376,5.2531,5.2833
604,0.4333,5.2845,5.2718
605,0.4362,5.2794,5.3004
